record_no,accession_no,creator,main_title,date_created,medium,dimensions,cultural_origin,credit_line
1,3092,,Arien Abend,/11/1941,Ink on paper,335mm (H) x 210mm (W),,
2,3095,,Grosses Unterhaltund Skon Zert,20/01/1942,Ink on paper,325mm (H) x 210mm (W),,
3,3129,"Stadlen, Mr Peter (Pianist)",Piano Recital - Peter Stadlen,,Ink on paper,205mm (H) x 130mm (W),,
4,3240,"Jeidels, Mr Harry (Collator, 1905-1987)",Scrapbook,1942 - 1945,"Ink on paper, with card and felt",closed book 237mm (H) x 330mm (W) x 28mm (D),,
5,3256,"Sternberg, Dr. K (Director) Mr Bieber (Artist)",Snow White Joins Up,31/12/1941,Paint and ink on paper and cardboard,,,
6,3257,"Sternberg, Dr. K (Director) Mr Bieber (Artist)",Snow White Joins Up,31/12/1941,Paint and ink on paper and cardboard,,,
7,3287,"Lohde, Sergeant Sigurd (Composer)",8th Employment Company March,1942 - 1943,Ink on paper,,,
8,3315.1,"Fabian, Mr Erwin (Artist-Painter, -19/01/2020)",Klavier Abend,1941,"Pencil, ink and watercolour on paper",open 135mm (H) x 130mm (W),,
9,3315.2,"Fabian, Mr Erwin (Artist-Painter, -19/01/2020)",Klavier Abend,1941,"Pencil, ink and watercolour on paper",open 135mm (H) x 251mm (W),,
10,3315.3,"Fabian, Mr Erwin (Artist-Painter, -19/01/2020)",Klavier Abend,1941,"Pencil, ink and watercolour on paper",open 135mm (H) x 251mm (W),,
11,3360,"Schönbach, Mr Fritz (Artist-Painter, 1920)",The Story of The Good Soldier Schwejk,09/1941,Watercolour and ink on card and paper,open 213mm (H) x 403mm (W) closed 126mm (H) x 106mm (W),,
12,3362,"Fabian, Mr Erwin (Artist, -19/01/2020)",Sergeant Snow White,11/05/1943,Ink on paper,,,
13,3372,,V for Victory Variety Concert,1/11/1941,Ink on paper,open 168mm (H) x 215mm (W),,
14,3373,,"We're In Love, A Rumbling Riot of Rollicking Revue",11/1941,"Print, blue ink on paper",open 168mm (H) x 215mm (W),,
15,3376,"Sternberg, Dr. K (Director)",Sergeant Snow White,04/1943,Ink on paper,,,
16,3377,Recreation Department Hay (Maker),Unterhaltungs Konzert,1941,Pencil and ink on paper,91mm (H) x 260mm (W),,
17,3394,,"[COPY] Sketch titled ""The True Music Lover""",1941,Laminated ink on paper.,21.4cm (H) x 24.8cm (W),,
18,3439,"Sternberg, Dr. K (Director)",Snow White New Year Revue,1941 - 1942,Ink on paper,,,
19,3458,"Schnitz, P E (designer)","program - Wir reisen um die Welt, 1941",05/1941,Ink on paper,,,
20,3523,"Behrens, Mr Kurt Firestone, Mr Frank",[PHOTOCOPY] Music for Beethoven concert given in Hay camp,1940 - 1941,Paper,,,
21,3619,"Reichwald, Mr. M. (Composer)",Tempo di Slow Fox,1940s,Pen and pencil on paper,,,
22,3620,Melbourne Orchestra (Host),Free Concerts for the Forces,17/03/1944,Ink on paper,,,
23,3644,,Dandenong's Night of Music,9/07/1942,Ink on paper,,,
24,3670,The Cermaic Repartee Club (Producer),A Fruity Melodrama/The Doings Up At The 'All/The Snake in the Snow,6/11/1941,Ink on paper,,,
25,3681.1,"Sternberg, Dr. K (Writer and Director)",Sergeant Snow White,15/04/1943 - 19/04/1943,Ink on paper,,,
