associated_work,composer,date_text,filename,manifest_contents,manifest_date,manifest_organization,movement_or_selection,name,page_number,part_or_instrument,place,record_type,review_flags,role,source_text,title
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,,1,,TOWN HALL,venue,,,"TOWN HALL,",
,,"SATURDAY, NOV. 18, 1893. 3 O’CLOCK",UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,,1,,,date,,,"SATURDAY, NOV. 18, 1893. 3 O’CLOCK",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Melbourne LIEDERTAFEL,3,,,organization,,presenting organization,"Melbourne  LIEDERTAFEL
Instituted  1868. RE-CONSTITUTED 1879",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,ASSOCIATED LADIES’ CHOIR,10,,,organization,,choir,"ASSOCIATED LADIES’ CHOIR,",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,THE LIEDERTAFEL,10,,,organization,,choir,THE LIEDERTAFEL.,
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,ORCHESTRA,10,,,organization,,orchestra,AND ORCHESTRA.,
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"The HON, STB W. J. CLARKE, BART., M.L.C.",3,,,patron,OCR garble in 'Catron' (Patron) and possibly in honorifics,Patron,"Catron: 
The  HON, STB W. J. CLARKE, BART., M.L.C.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"BARON Sir  F. von  MUELLER, K.C.M.G",3,,,patron,OCR garble in heading 'Mice-Gresidents' (Vice-Presidents),Vice-President,"Mice-Gresidents:
BARON Sir  F. von  MUELLER, K.C.M.G",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,"HON, F. S. GRIMWADE, M.L.C.",3,,,patron,OCR punctuation/spacing irregular; role inferred from section heading,Vice-President,"HON, F. S. GRIMWADE, M.L.C. | Hon . U. McBRYDE. M.L.C.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,Hon . U. McBRYDE. M.L.C.,3,,,patron,OCR punctuation/spacing irregular; role inferred from section heading,Vice-President,"HON, F. S. GRIMWADE, M.L.C. | Hon . U. McBRYDE. M.L.C.",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,PATON & SONS,19,,,patron,,Donor,"The thanks of the Society are due to Messrs. PATON 
& SONS (for the Plants)",
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,WEBB & SON,19,,,patron,,Donor,WEBB & SON (for the Vases,
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,FOY & GIBSON,19,,,patron,,Donor,FOY & GIBSON (for the Draperies),
,,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,NICHOLSON & CO.,19,,,patron,OCR garble in company style ('GO.' for 'CO.'),Donor,"NICHOLSON & 
GO. (for the Statuary).",
,RICHARD WAGNER,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,,7,,,work,,,"PARSIFAL
A Festival Drama
By  RICHARD WAGNER.",Parsifal
,JOHANNES BRAHMS,,UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,,,12,,,work,Minor OCR garble ('ans' for 'aus'),,"RHAPSODIE
(fragment ans Goethe's Harzreise im Winter), 
FOR
Contralto Solo, Chorus pf Men’s Voices and Orchestra,
By  JOHANNES BRAHMS.
Op. 53.","Rhapsodie (fragment aus Goethe's Harzreise im Winter), Op. 53"
