Flag Type,Flag description,What was done,Where found,Where placed
non-musical information,"Pages 1-2 primarily contain travel itineraries, fares, and ticket conditions rather than a musical event program.","Created separate events with event_type ""non-event"" and preserved the itinerary and fare details in additional_information.",4-95,4
OCR error,"Location name appears as ""Eoulogne"" in the itinerary, which may be an OCR error.",Preserved the wording exactly as printed in additional_information and flagged for review.,39-39,11
ambiguous event boundary,"The material across pages 3-5 appears related to the same Oberammergau visit but includes schedule, invitation text, and a service form that may belong to one larger document or multiple subdocuments.","Separated into distinct events based on headings and function: visit schedule, invitation text, and form of service.",97-250,40
potential misspelling,"Committee name appears as ""GEORGE CICESTR."" which may be misspelled or misread by OCR.",Preserved exactly in credits and flagged for review.,163-165,132
ambiguous attribution,"The label ""(Executive Secretary)."" appears beneath the table containing ""FRED. J. NEY"" and may apply specifically to that name, but the table formatting is imperfect.","Attributed ""Executive Secretary"" to ""FRED. J. NEY"" and flagged for manual review.",182-186,not located
incomplete information,"The lyrics/transcript for ""God's Tender Mercy."" is cut off at the end of the chunk.",Transcribed only the visible text and noted incompleteness in the performance additional_information.,240-250,not located
non-musical information,Most of the visible text consists of prayers and devotional/liturgical prose rather than a clearly identifiable musical event description.,"Created a non-event record and preserved the prayer and hymn-related text in additional_information, while also capturing the visible hymn as a performance.",255-275,203
incomplete information,"The chunk begins with carryover lyric text from a prior page or prior item, so the beginning of that item is missing.",Preserved the visible lines in event additional_information and noted that they are carryover text.,251-252,203
incomplete information,The visible hymn appears to continue beyond the chunk boundary; only the opening line is present.,Captured the single visible lyric line and noted that the hymn text is incomplete.,277-281,not located
content filter,The OCR source lines were rejected by the model content filter and therefore could not be structurally transcribed by the language model.,"The original OCR text was preserved verbatim in the additional_information field of a non-event record. No attempt was made to rewrite, correct, summarize, or omit the rejected material.",282-288,69529
non-musical information,"The supplied chunk contains only a text fragment with no explicit event, venue, date, performer, or program information visible.",Created a non-event entry and preserved the text in additional_information.,289-296,229
incomplete information,The text appears to be a fragment that may continue from a previous page or section and does not provide enough context to identify a specific event or work.,Did not infer any event details; preserved only the visible text.,289-296,229
ambiguous event boundary,"The chunk appears to be an interior page (Page 7) of a larger document, and no complete event title, venue, date, or clear event boundary is visible in this excerpt.",Created a single non-event record preserving all visible text and structured the visible address and hymn as performances within one section.,301-312,not located
non-musical information,"The chunk contains spoken/printed material and literary text in addition to musical content, and does not provide enough context to identify a complete musical event.","Classified the record as event_type ""non-event"" and preserved all text in additional_information and sections.",297-312,252
non-musical information,"The first document portion contains hymn text, prayer text, and blessing text but no explicit musical event information is visible in this chunk.",Created a non-event and preserved the text in additional_information and performance lyrics/transcript fields.,314-349,287
incomplete information,"The conference listing provides only month and day headings (""AUGUST 11th."" and ""AUGUST 12th."") without a year, so a complete event date cannot be established.",Set event_date to null and preserved the partial dates as section names and additional_information.,362-369,332
non-musical information,The second document appears to describe a conference rather than a musical event.,"Extracted it as an event with event_type ""conference"" to preserve the structured program information visible in the chunk.",352-374,320
ambiguous event boundary,"The hymn/prayer/blessing material appears to continue from an earlier page, and the conference begins after a page break on Page 8, indicating separate document or section boundaries that are only partially visible in this chunk.",Separated the material into two events based on the page break and heading change.,351-352,1434
