Severity,Record Type,Source Document,Page,Organization,Date,OCR Original,LLM Resolution,Suggested Problem
High — OCR/legibility,organization,UDC20260028-1.pdf,1,Musashino Academia Musicae,1967-68,MUSASHINO ACADEMIA MUSICAЕ,name: MUSASHINO ACADEMIA MUSICAЕ | role: presenting organization,OCR shows 'MUSICAЕ'; likely 'MUSICAE' (Cyrillic-looking E).
High — OCR/legibility,work,UDC20260028-1.pdf,20,Musashino Academia Musicae,1967-68,N. K. Medtner .......................................................,"title: ""Four Fairy Tales"" Op. 26 | composer: N. K. Medtner",OCR garble around quotes; title recovered from context.
High — OCR/legibility,performer,UDC20260028-10.pdf,5,Melbourne Liedertafel,1893,"Marshall, Capt. T. S. (on l.","name: Marshall, Capt. T. S. (on l. | part_or_instrument: Second Tenor",OCR garble in '(on leave)'. Marked as on leave; may not have performed.
High — OCR/legibility,performer,UDC20260028-10.pdf,5,Melbourne Liedertafel,1893,"Morgan, C. W. on leave)","name: Morgan, C. W. on leave) | part_or_instrument: Second Tenor",OCR punctuation garble; marked as on leave; may not have performed.
High — OCR/legibility,organization,UDC20260028-11.pdf,1,Melbourne Liedertafel,1893,"THE ROYAL METROPOLITAN LIEGEBRIGADE
R.M.L.",name: THE ROYAL METROPOLITAN LIEGEBRIGADE | role: presenting organization,Name appears garbled by OCR; likely intended to be 'Liedertafel'
High — OCR/legibility,performer,UDC20260028-11.pdf,5,Melbourne Liedertafel,1893,J. B. Pewtrriss .. 1892,name: J. B. Pewtrriss | part_or_instrument: tenor,Surname may be an OCR error
High — OCR/legibility,performer,UDC20260028-11.pdf,5,Melbourne Liedertafel,1893,J. Fordvce .. 1872,name: J. Fordvce | part_or_instrument: bass,Surname may be an OCR error
High — OCR/legibility,work,UDC20260028-11.pdf,9,Melbourne Liedertafel,1893,"Part Song—""The Miller's Daughter"" Hartel",title: The Miller's Daughter | composer: Hartel,Composer credit 'Hartel' may refer to publisher; attribution uncertain
High — OCR/legibility,work,UDC20260028-11.pdf,11,Melbourne Liedertafel,1893,"Song—""Alla Stella Confidente"" Bobaudi
(With Cello Obbligato by Herr Theo. Liebe)",title: Alla Stella Confidente | composer: Bobaudi,Composer name may be an OCR error
High — OCR/legibility,work,UDC20260028-11.pdf,11,Melbourne Liedertafel,1893,"Part Song—""The Mariner's Return"" Höcsler",title: The Mariner's Return | composer: Höcsler,Composer name may be an OCR error
High — OCR/legibility,performer,UDC20260028-13.pdf,6,Melbourne Liedertafel,1889,H. Ropk,name: H. Ropk | part_or_instrument: bass,Name appears garbled by OCR; unrecoverable with confidence.
High — OCR/legibility,work,UDC20260028-18.pdf,8,Musashino Academia Musicae,1973-74,M. J. Ravel ........................................ Le Tombeau de Couprin,title: Le Tombeau de Couprin | composer: M. J. Ravel,OCR likely: 'Couprin' best-guess 'Couperin'
High — OCR/legibility,work,UDC20260028-18.pdf,17,Musashino Academia Musicae,1973-74,M. Marais ............................. Leo Foiles d'Espagne pour flute seul (Flute),title: Foiles d'Espagne pour flute seul | composer: M. Marais | movement_or_selection: Flute,OCR odd: 'Leo Foiles' likely 'Les Folies'
High — OCR/legibility,performer,UDC20260028-18.pdf,19,Musashino Academia Musicae,1973-74,V. Cello ......... J. Sire,name: J. Sire | part_or_instrument: Violoncello,Possible OCR error; best-guess 'J. Sirc'
High — OCR/legibility,work,UDC20260028-19.pdf,7,Musashino Academia Musicae,1975-76,Kazuto Miyazawa … Konsonanz für 3 Saxophonespieler order einen und Tonband,title: Konsonanz für 3 Saxophonespieler order einen und Tonband | composer: Kazuto Miyazawa,Possible OCR issues in title text ('order' likely 'oder')
High — OCR/legibility,work,UDC20260028-19.pdf,7,Musashino Academia Musicae,1975-76,"J. Massenet ......................................................... ""Werther"" Diletto e caro nome","title: ""Werther"" | composer: J. Massenet | movement_or_selection: Diletto e caro nome",Aria title may be OCR-garbled; kept as printed
High — OCR/legibility,work,UDC20260028-19.pdf,10,Musashino Academia Musicae,1975-76,F.J. Gossac ................................................................. Classic Overture,title: Classic Overture | composer: F.J. Gossac,Possible OCR: 'Gossac' likely 'Gossec'
High — OCR/legibility,work,UDC20260028-2.pdf,14,Musashino Academia Musicae,1968-69,B. Bartok ..................................................... Klagegesang für Kinder,title: Klagegesang für Kinder | composer: B. Bartok,Uncertain/rare title; verify spelling
High — OCR/legibility,organization,UDC20260028-21.pdf,3,Melbourne Liedertafel,1899,MELBOURNE @ LIEDERTAFEL.,name: MELBOURNE @ LIEDERTAFEL. | role: presenting organization,'@' likely OCR for '&'
High — OCR/legibility,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,Burton J. W. (on leave),name: Burton J. W. (on leave) | part_or_instrument: first tenor,Part inferred from 'FIRST TENOR.' header; OCR spacing/punctuation uncertain
High — OCR/legibility,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Blundell, K. S. P (on I've)","name: Blundell, K. S. P (on I've) | part_or_instrument: second tenor",Part inferred from 'SECOND TENOR.' header; 'on I've' likely OCR for 'on leave'
High — OCR/legibility,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Muirhead, G. H. (on I've)","name: Muirhead, G. H. (on I've) | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header; 'on I've' likely OCR for 'on leave'
High — OCR/legibility,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Brodrribb, H. B.","name: Brodrribb, H. B. | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header; Possible OCR error in surname
High — OCR/legibility,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Heathershaw, S. A. on I've","name: Heathershaw, S. A. on I've | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header; 'on I've' likely OCR for 'on leave'
High — OCR/legibility,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Lewes, H. M. (on I've)","name: Lewes, H. M. (on I've) | part_or_instrument: first bass",Part inferred from 'FIRST BASS.' header; 'on I've' likely OCR for 'on leave'
High — OCR/legibility,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Perry, S. J. (on I've)","name: Perry, S. J. (on I've) | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header; 'on I've' likely OCR for 'on leave'
High — OCR/legibility,performer,UDC20260028-21.pdf,5,Melbourne Liedertafel,1899,"Burke, R. H. (on I've)","name: Burke, R. H. (on I've) | part_or_instrument: second bass",Part inferred from 'SECOND BASS.' header; 'on I've' likely OCR for 'on leave'
High — OCR/legibility,work,UDC20260028-22.pdf,9,Musashino Academia Musicae,1976-77,"L.v. Beethoven ............................. Sonate ""Kreuzer"" A dur Op.45","title: Sonate ""Kreuzer"" A dur | composer: L.v. Beethoven | movement_or_selection: Op.45",Printed 'Kreuzer' and 'Op.45' likely OCR/typographical errors for 'Kreutzer' and 'Op.47'
High — OCR/legibility,work,UDC20260028-22.pdf,13,Musashino Academia Musicae,1976-77,"B. Smetana ................................. Aria from Opera ""Baretered Bride""","title: Aria from Opera ""Baretered Bride"" | composer: B. Smetana",OCR likely 'Baretered' for 'Bartered'
High — OCR/legibility,work,UDC20260028-22.pdf,15,Musashino Academia Musicae,1976-77,L. Deliebes ....................... “Coppélia” Selection,title: “Coppélia” Selection | composer: L. Deliebes,OCR likely 'Deliebes' for 'Delibes'
High — OCR/legibility,work,UDC20260028-22.pdf,17,Musashino Academia Musicae,1976-77,Béla Bartók ........................................... 3 Burgarian Dances,title: 3 Burgarian Dances | composer: Béla Bartók,OCR likely 'Burgarian' for 'Bulgarian'
High — OCR/legibility,work,UDC20260028-22.pdf,18,Musashino Academia Musicae,1976-77,D. Shostakovic ............................................. Festive Overture,title: Festive Overture | composer: D. Shostakovic,OCR 'Shostakovic' missing 'h'
High — OCR/legibility,work,UDC20260028-23.pdf,12,Musashino Academia Musicae,1977-78,"M. Glinka ......................................................... Four Variations on Aliabiev's Song ""The Night ingale""","title: Four Variations on Aliabiev's Song ""The Night ingale"" | composer: M. Glinka",OCR likely has a spacing error in 'Night ingale'.
High — OCR/legibility,work,UDC20260028-23.pdf,12,Musashino Academia Musicae,1977-78,"C. Weber ........................................................... Wie nahte mir die Schlunmmer ""Der Freischütz""","title: Wie nahte mir die Schlunmmer ""Der Freischütz"" | composer: C. Weber",OCR likely 'Schlunmmer' should be 'Schlummer'; left as printed.
High — OCR/legibility,work,UDC20260028-23.pdf,14,Musashino Academia Musicae,1977-78,"A.Boïto ............................................................. L'altra notte, in fondo al mara ""Mefistofele"" (Soprano)","title: L'altra notte, in fondo al mara ""Mefistofele"" | composer: A.Boïto",OCR likely 'mara' should be 'mare'; left as printed.
High — OCR/legibility,work,UDC20260028-23.pdf,16,Musashino Academia Musicae,1977-78,F.Schubert ............................................................ Soante A dur D.959,title: Soante A dur D.959 | composer: F.Schubert,OCR likely 'Soante' should be 'Sonate'; retained as printed.
High — OCR/legibility,work,UDC20260028-23.pdf,25,Musashino Academia Musicae,1977-78,L.Bocchirini ................................................................. Konzert B-dur,title: Konzert B-dur | composer: L.Bocchirini,OCR likely 'Bocchirini' should be 'Boccherini'; retained as printed.
High — OCR/legibility,performer,UDC20260028-23.pdf,26,Musashino Academia Musicae,1977-78,"Leonid Kogan (Violin)
レオニード・コーラン ヴァイオリン公開レッスン",name: Leonid Kogan | part_or_instrument: Violin,OCR likely 'コーラン' corresponds to 'Kogan'; left name as printed in Latin.
High — OCR/legibility,organization,UDC20260028-24.pdf,1,Musashino Academia Musicae,1978,MUSASHINO ACADEMIA MUSICAЕ,name: MUSASHINO ACADEMIA MUSICAЕ | role: institution,Possible OCR issue with final character 'Е'; likely 'MUSICAe' or 'MUSICAe/MUSICAe'
High — OCR/legibility,performer,UDC20260028-24.pdf,7,Musashino Academia Musicae,1978,"Bassoon
西田豊",name: 西田豊 | part_or_instrument: Bassoon,Name also appears under Double Bass; possible OCR/section misassignment
High — OCR/legibility,performer,UDC20260028-24.pdf,7,Musashino Academia Musicae,1978,山上和宏,name: 山上和宏 | part_or_instrument: Bassoon,Name also appears under Double Bass; possible OCR/section misassignment
High — OCR/legibility,performer,UDC20260028-24.pdf,7,Musashino Academia Musicae,1978,野島慶介,name: 野島慶介 | part_or_instrument: Bassoon,Name also appears under Double Bass; possible OCR/section misassignment
High — OCR/legibility,performer,UDC20260028-25.pdf,7,Melbourne Liedertafel,1892,Mr. P. Brown,name: Mr. P. Brown | part_or_instrument: Grand Cas & Cymbals,Instrument heading reads 'Grand Cas & Cymbals' (uncertain abbreviation)
High — OCR/legibility,organization,UDC20260028-28.pdf,1,Melbourne Liedertafel,1899,"THE ROYAL METROPOLITAN LIEUTENANCY
R.M.L.",name: THE ROYAL METROPOLITAN LIEUTENANCY | role: presenting organization,Possible OCR misreading; likely 'Liedertafel' rather than 'Lieutenancy'
High — OCR/legibility,organization,UDC20260028-28.pdf,3,Melbourne Liedertafel,1899,The Royal Metropolitan Liedentafel,name: The Royal Metropolitan Liedentafel | role: presenting organization,Spelling variant vs. 'Liedertafel'; likely OCR variant
High — OCR/legibility,performer,UDC20260028-28.pdf,6,Melbourne Liedertafel,1899,"Mr. E. B. Kentum,
    Hon. Pianist",name: Mr. E. B. Kentum | part_or_instrument: piano,Name differs from 'MR. G. B. FENTUM' on p.4; probable OCR error
High — OCR/legibility,performer,UDC20260028-3.pdf,5,Musashino Academia Musicae,1978,BARITON: Eishi Kawamura,name: Eishi Kawamura | part_or_instrument: baritone | associated_work: Ein deutsches Requiem Op. 45,Associated with Brahms Requiem by context; 'BARITON' OCR for 'Baritone'
High — OCR/legibility,work,UDC20260028-3.pdf,11,Musashino Academia Musicae,1978,"F. Schubert ............................... Impromptus Op. 14251, 2","title: Impromptus Op. 14251, 2 | composer: F. Schubert",OCR garble in opus/movement numbering
High — OCR/legibility,work,UDC20260028-3.pdf,15,Musashino Academia Musicae,1978,"G. Pergolesi ......................... ""La serva padrona"" Stizzoso, mio slizzoso","title: ""La serva padrona"" Stizzoso, mio slizzoso | composer: G. Pergolesi",'slizzoso' likely 'stizzoso' duplication per OCR; kept as printed
High — OCR/legibility,work,UDC20260028-3.pdf,20,Musashino Academia Musicae,1978,"Antonio de Cabezon ..................... Veriations on ""Canto del Caballero""","title: Veriations on ""Canto del Caballero"" | composer: Antonio de Cabezon",'Veriations' OCR
High — OCR/legibility,work,UDC20260028-3.pdf,20,Musashino Academia Musicae,1978,J. S. Bach ..................... Praludie and Fuuge b minor,title: Praludie and Fuuge b minor | composer: J. S. Bach,'Praludie and Fuuge' OCR for 'Präludium und Fuge'
High — OCR/legibility,work,UDC20260028-3.pdf,20,Musashino Academia Musicae,1978,                                    Pralude and Fuuge D major,title: Pralude and Fuuge D major | composer: J. S. Bach,OCR misspelling
High — OCR/legibility,work,UDC20260028-3.pdf,24,Musashino Academia Musicae,1978,L.v. Beethoven ............................. Octect E flat major Op. 103,title: Octect E flat major Op. 103 | composer: L.v. Beethoven,'Octect' OCR for 'Octet'
High — OCR/legibility,work,UDC20260028-3.pdf,27,Musashino Academia Musicae,1978,""" Italian Cantatas"" Crudel trianno Amor","title: "" Italian Cantatas"" Crudel trianno Amor | composer: G. F. Händel",Composer inferred from preceding line; OCR garble in title
High — OCR/legibility,work,UDC20260028-3.pdf,29,Musashino Academia Musicae,1978,F. Schubert ............................................. Wander's Fantasy Op. 15,title: Wander's Fantasy Op. 15 | composer: F. Schubert,Title has missing 'er' per OCR; kept as printed
High — OCR/legibility,work,UDC20260028-3.pdf,29,Musashino Academia Musicae,1978,C. Debussy ............................................. Ondine/Reflets dan l'eau,title: Ondine/Reflets dan l'eau | composer: C. Debussy,'dan' OCR; kept as printed
High — OCR/legibility,work,UDC20260028-3.pdf,31,Musashino Academia Musicae,1978,"C. M. Weber ............... ""Der Freischütz"",, Wie nahte mir der Schlummer","title: ""Der Freischütz"" Wie nahte mir der Schlummer | composer: C. M. Weber",Punctuation OCR
High — OCR/legibility,work,UDC20260028-3.pdf,31,Musashino Academia Musicae,1978,"F. Liszt ............................................. Valse Impromptu/Ballade b minor
                                  Polonaise E major/Concert Etudes
                                  Hungerian Rhapsodies",title: Valse Impromptu/Ballade b minor/Polonaise E major/Concert Etudes/Hungerian Rhapsodies | composer: F. Liszt,'Hungerian' OCR
High — OCR/legibility,work,UDC20260028-3.pdf,32,Musashino Academia Musicae,1978,S. Rakhmaninov ................................................ Bhapsody on a theme of Paganini,title: Bhapsody on a theme of Paganini | composer: S. Rakhmaninov,'Bhapsody' OCR for 'Rhapsody'
High — OCR/legibility,work,UDC20260028-3.pdf,33,Musashino Academia Musicae,1978,F. Chopin ............................. Nocturn f sharp minor Op. 48-2,title: Nocturn f sharp minor Op. 48-2 | composer: F. Chopin,'Nocturn' OCR
High — OCR/legibility,work,UDC20260028-3.pdf,35,Musashino Academia Musicae,1978,J. S. Bach ................................................. Sonata m major BWV 530,title: Sonata m major BWV 530 | composer: J. S. Bach,'m major' OCR unclear (likely G major)
High — OCR/legibility,venue,UDC20260028-30.pdf,1,Musashino Academia Musicae,1969-71,主催=武蔵野音楽大学ヘトーヴェンホール,place: 武蔵野音楽大学ヘトーヴェンホール,"Assumed this is also the performance venue based on context of university hall named on title page.; OCR likely reads 'ベートーヴェンホール' (Beethoven Hall), but kept as printed."
High — OCR/legibility,organization,UDC20260028-30.pdf,1,Musashino Academia Musicae,1969-71,主催=武蔵野音楽大学ヘトーヴェンホール,name: 武蔵野音楽大学ヘトーヴェンホール | role: presenting organization,OCR likely 'ベートーヴェンホール'; treated as the presenting hall/host.
High — OCR/legibility,performer,UDC20260028-30.pdf,10,Musashino Academia Musicae,1969-71,フィオルディリージ：岩永圭子,name: 岩永圭子 | part_or_instrument: Fiordiligi (role) | associated_work: Cosi Fan Tutte,Role/date assignment on p.3 Japanese cast appears garbled; role confirmed from profile page.
High — OCR/legibility,performer,UDC20260028-30.pdf,10,Musashino Academia Musicae,1969-71,フィオルディリージ：岩崎京子,name: 岩崎京子 | part_or_instrument: Fiordiligi (role) | associated_work: Cosi Fan Tutte,Role/date assignment on p.3 Japanese cast appears garbled; role confirmed from profile page.
