associated_work,composer,date_text,filename,manifest_contents,manifest_date,manifest_organization,movement_or_selection,name,page_number,part_or_instrument,place,record_type,review_flags,role,source_pdf,source_text,title,txt_source_file
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,,3,,"Town Hall, Melbourne",venue,,,UDC20260028-13.pdf,"Town Hall, Melbourne",,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,,20,,"TOWN HALL, MELBOURNE",venue,,,UDC20260028-13.pdf,"TOWN HALL,
MELBOURNE",,extracted_texts/OLMOCR/UDC20260028-13.txt
,,"Wednesday Evening, Sixth November, 1889",UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,,3,,,date,,,UDC20260028-13.pdf,"Wednesday Evening, Sixth November, 1889",,extracted_texts/OLMOCR/UDC20260028-13.txt
,,"WEDNESDAY EVENING 6TH NOVEMBER, 1889.",UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,,20,,,date,,,UDC20260028-13.pdf,"WEDNESDAY EVENING
6TH NOVEMBER, 1889.",,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,Metropolitan Liedertafel,3,,,organization,,presenting organization,UDC20260028-13.pdf,Metropolitan Liedertafel,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,Liedertafel,7,,,organization,Appears to be abbreviated form of 'Metropolitan Liedertafel'.,choir,UDC20260028-13.pdf,Liedertafel,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,Victorian Orchestra,4,,,organization,,orchestra,UDC20260028-13.pdf,Victorian Orchestra,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,A Selected Choir of Boys' Voices,4,,,organization,,choir,UDC20260028-13.pdf,A Selected Choir of Boys' Voices,,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,Boys' Choir,13,,,organization,“Boys' Choir” likely refers to the “A Selected Choir of Boys' Voices” named earlier.,choir,UDC20260028-13.pdf,"Boys' Choir, Victorian Orchestra
AND Liedertafel",,extracted_texts/OLMOCR/UDC20260028-13.txt
,,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,"HIS EXCELLENCY SIR HENRY BROUGHAM LOCH, K.C.B.",5,,,patron,,Patron,UDC20260028-13.pdf,"PATRON
HIS EXCELLENCY SIR HENRY BROUGHAM LOCH, K.C.B.",,extracted_texts/OLMOCR/UDC20260028-13.txt
,Heinrich Hofmann,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,,7,,,work,,,UDC20260028-13.pdf,"Cantata ""Harald's Bridal Voyage""
Heinrich Hofmann",Harald's Bridal Voyage,extracted_texts/OLMOCR/UDC20260028-13.txt
,Beethoven,,UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,,,11,,,work,,,UDC20260028-13.pdf,Pianoforte Solo: Concerto in E Flat Major Beethoven,Concerto in E Flat Major,extracted_texts/OLMOCR/UDC20260028-13.txt
