Filename,Contents,Date,Organization,
UDC20260028-1.txt,Concert Programs,1967-68,Musashino Academia Musicae,
UDC20260028-10.txt,Concert Programs,1893,Melbourne Liedertafel,
UDC20260028-11.txt,Concert Programs,1893,Melbourne Liedertafel,
UDC20260028-12.txt,Concert Programs,1967,Cross Talk (in Tokyo),
UDC20260028-13.txt,Concert Programs,1889,Melbourne Liedertafel,
UDC20260028-14.txt,Concert Programs,1970,Australian Youth Orchestra,
UDC20260028-15.txt,Concert Programs,1889,Melbourne Liedertafel,
UDC20260028-16.txt,Concert Programs,Unknown,Madang Amateur Theatrical Society,
UDC20260028-17.txt,Concert Programs,1899,Melbourne Liedertafel,
UDC20260028-18.txt,Concert Programs,1973-74,Musashino Academia Musicae,
UDC20260028-19.txt,Concert Programs,1975-76,Musashino Academia Musicae,
UDC20260028-2.txt,Concert Programs,1968-69,Musashino Academia Musicae,
UDC20260028-20.txt,Concert Programs,1899,Melbourne Liedertafel,
UDC20260028-21.txt,Concert Programs,1899,Melbourne Liedertafel,
UDC20260028-22.txt,Concert Programs,1976-77,Musashino Academia Musicae,
UDC20260028-23.txt,Concert Programs,1977-78,Musashino Academia Musicae,
UDC20260028-24.txt,Concert Programs,1978,Musashino Academia Musicae,all in Japanese
UDC20260028-25.txt,Concert Programs,1892,Melbourne Liedertafel,
UDC20260028-26.txt,Concert Programs,1979,Musashino Academia Musicae,
UDC20260028-27.txt,Concert Programs,1899,Melbourne Liedertafel,
UDC20260028-28.txt,Concert Programs,1899,Melbourne Liedertafel,
UDC20260028-29.txt,Museum Catalog,Unknown,Musashino Academia Musicae,many images
UDC20260028-3.txt,Concert Programs,1978,Musashino Academia Musicae,mainly Japanese.  Cosi fan tutte performance
UDC20260028-30.txt,Concert Programs,1969-71,Musashino Academia Musicae,
UDC20260028-31.txt,Concert Programs,1978,Musashino Academia Musicae,
UDC20260028-32.txt,Concert Programs,1896,Melbourne Liedertafel,
UDC20260028-33.txt,Concert Programs,1896,Melbourne Liedertafel,
UDC20260028-34.txt,Concert Programs,1892,Melbourne Liedertafel,
UDC20260028-35.txt,Concert Programs,1896,Melbourne Liedertafel,
UDC20260028-36.txt,Concert Programs,1896,Melbourne Liedertafel,
UDC20260028-37.txt,Concert Programs,1894,Melbourne Liedertafel,
UDC20260028-38.txt,Concert Programs,1894,Melbourne Liedertafel,
UDC20260028-39.txt,Concert Programs,1889,Melbourne Liedertafel,
UDC20260028-4.txt,Concert Programs,1972-73,Musashino Academia Musicae,
UDC20260028-40.txt,Concert Programs,1889,Melbourne Liedertafel,
UDC20260028-41.txt,Concert Programs,1905,Melbourne Liedertafel,
UDC20260028-42.txt,Concert Programs,1910,Melbourne Liedertafel,
UDC20260028-43.txt,Concert Programs,1916,Melbourne Liedertafel,
UDC20260028-44.txt,Concert Programs,1901,Melbourne Liedertafel,
UDC20260028-45.txt,Concert Programs,1901,Melbourne Liedertafel,
UDC20260028-46.txt,Concert Programs,1902,Melbourne Liedertafel,
UDC20260028-47.txt,Concert Programs,1902,Melbourne Liedertafel,
UDC20260028-48.txt,Concert Programs,1902,Melbourne Liedertafel,
UDC20260028-49.txt,Concert Programs,1902,Melbourne Liedertafel,
UDC20260028-5.txt,Concert Programs,1968,Cross Talk (in Tokyo),
UDC20260028-50.txt,Concert Programs,1902,Melbourne Liedertafel,
UDC20260028-51.txt,Concert Programs,1970,Pacific Contemporary Music Festival,
UDC20260028-52.txt,Concert Programs,1979,Asian Youth Music Camp,
UDC20260028-53.txt,Concert Programs,1903,Melbourne Liedertafel,
UDC20260028-54.txt,Concert Programs,1925,Royal College of Music,
UDC20260028-55.txt,Concert Programs,1903,Melbourne Liedertafel,
UDC20260028-56.txt,Concert Programs,1928,Lausanne Music Festival,
UDC20260028-57.txt,Concert Programs,1903,Melbourne Liedertafel,
UDC20260028-58.txt,Concert Programs,1906,Melbourne Liedertafel,
UDC20260028-59.txt,Concert Programs,1906,Melbourne Liedertafel,
UDC20260028-6.txt,Concert Programs,1892,Melbourne Liedertafel,
UDC20260028-60.txt,Concert Programs,1907,Melbourne Liedertafel,
UDC20260028-61.txt,Concert Programs,1928,University of Michigan,
UDC20260028-62.txt,Concert Programs,1907,Melbourne Liedertafel,
UDC20260028-63.txt,Concert Programs,1901,Melbourne Liedertafel,
UDC20260028-64.txt,Concert Programs,1930,Melbourne Liedertafel,
UDC20260028-65.txt,Concert Programs,1931,Melbourne Liedertafel,
UDC20260028-66.txt,Concert Programs,1931,Melbourne Liedertafel,
UDC20260028-67.txt,Concert Programs,1933,Melbourne Liedertafel,
UDC20260028-68.txt,Concert Programs,1929,University of Michigan,
UDC20260028-69.txt,Concert Programs,1903,Melbourne Liedertafel,
UDC20260028-7.txt,Concert Programs,1968,Cross Talk (in Tokyo),
UDC20260028-70.txt,Concert Programs,1896,Musical Society of Victoria,
UDC20260028-71.txt,Concert Programs,1915,Musical Society of Victoria,
UDC20260028-72.txt,Concert Programs,1899,Musical Society of Victoria,Fragment
UDC20260028-73.txt,Annual Report,1896,Musical Society of Victoria,
UDC20260028-74.txt,Concert Programs,1896,Musical Society of Victoria,
UDC20260028-75.txt,Concert Programs,1896,Musical Society of Victoria,
UDC20260028-76.txt,Concert Programs,1896,Musical Society of Victoria,
UDC20260028-77.txt,Concert Programs,1897,Musical Society of Victoria,
UDC20260028-78.txt,Concert Programs,1898,Musical Society of Victoria,
UDC20260028-79.txt,Concert Programs,1899,Musical Society of Victoria,
UDC20260028-8.txt,Concert Programs,1891,Melbourne Liedertafel,
UDC20260028-80.txt,Concert Programs,1899,Musical Society of Victoria,
UDC20260028-81.txt,Concert Programs,1899,Musical Society of Victoria,
UDC20260028-82.txt,Concert Programs,1898,Musical Society of Victoria,
UDC20260028-83.txt,Concert Programs,1899,Musical Society of Victoria,
UDC20260028-84.txt,Concert Programs,1934,London Queens Hall Piano,
UDC20260028-85.txt,Concert Programs,1934,Obergammerau Canada Educator's Visit,
UDC20260028-86.txt,Concert Programs,1939,London Royal Choral Society,
UDC20260028-87.txt,Concert Programs,1936,London Royal Choral Society,
UDC20260028-88.txt,Concert Programs,1938-39,London Symphony Orchestra,
UDC20260028-89.txt,Concert Programs,1919,Paris Académie de musique et danse,
UDC20260028-9.txt,Concert Programs,1899,Melbourne Liedertafel,
UDC20260028-90.txt,Concert Program,Unknown,Hendersen Piano Lectures Glasgow,
UDC20260028-91.txt,Concert Programs ,1919,Royal Albert Hall,
filenames.,,,,
