Filename,Contents,Date,Organization,
UDC20260028-1.pdf,Concert Programs,1967-68,Musashinto Academia Musicae,
UDC20260028-10.pdf,Concert Programs,1893,Melbourne Liedertafel,
UDC20260028-11.pdf,Concert Programs,1893,Melbourne Liedertafel,
UDC20260028-12.pdf,Concert Programs,1967,Cross Talk (in Tokyo),
UDC20260028-13.pdf,Concert Programs,1889,Melbourne Liedertafel,
UDC20260028-14.pdf,Concert Programs,1970,Australian Youth Orchestra,
UDC20260028-15.pdf,Concert Programs,1889,Melbourne Liedertafel,
UDC20260028-16.pdf,Concert Programs,Unknown,Madang Amateur Theatrical Society,
UDC20260028-17.pdf,Concert Programs,1899,Melbourne Liedertafel,
UDC20260028-18.pdf,Concert Programs,1973-74,Musashinto Academia Musicae,
UDC20260028-19.pdf,Concert Programs,1975-76,Musashinto Academia Musicae,
UDC20260028-2.pdf,Concert Programs,1968-69,Musashinto Academia Musicae,
UDC20260028-20.pdf,Concert Programs,1899,Melbourne Liedertafel,
UDC20260028-21.pdf,Concert Programs,1899,Melbourne Liedertafel,
UDC20260028-22.pdf,Concert Programs,1976-77,Musashinto Academia Musicae,
UDC20260028-23.pdf,Concert Programs,1977-78,Musashinto Academia Musicae,
UDC20260028-24.pdf,Concert Programs,1978,Musashinto Academia Musicae,all in Japanese
UDC20260028-25.pdf,Concert Programs,1892,Melbourne Liedertafel,
UDC20260028-26.pdf,Concert Programs,1979,Musashinto Academia Musicae,
UDC20260028-27.pdf,Concert Programs,1899,Melbourne Liedertafel,
UDC20260028-28.pdf,Concert Programs,1899,Melbourne Liedertafel,
UDC20260028-29.pdf,Museum Catalog,Unknown,Musashinto Academia Musicae,many images
UDC20260028-3.pdf,Concert Programs,1978,Musashinto Academia Musicae,mainly Japanese.  Cosi fan tutte performance
UDC20260028-30.pdf,Concert Programs,1969-71,Musashinto Academia Musicae,
UDC20260028-31.pdf,Concert Programs,1978,Musashinto Academia Musicae,
UDC20260028-32.pdf,Concert Programs,1896,Melbourne Liedertafel,
UDC20260028-33.pdf,Concert Programs,1896,Melbourne Liedertafel,
UDC20260028-34.pdf,Concert Programs,1892,Melbourne Liedertafel,
UDC20260028-35.pdf,Concert Programs,1896,Melbourne Liedertafel,
UDC20260028-36.pdf,Concert Programs,1896,Melbourne Liedertafel,
UDC20260028-37.pdf,Concert Programs,1894,Melbourne Liedertafel,
UDC20260028-38.pdf,Concert Programs,1894,Melbourne Liedertafel,
UDC20260028-39.pdf,Concert Programs,1889,Melbourne Liedertafel,
UDC20260028-4.pdf,Concert Programs,1972-73,Musashinto Academia Musicae,
UDC20260028-40.pdf,Concert Programs,1889,Melbourne Liedertafel,
UDC20260028-41.pdf,Concert Programs,1905,Melbourne Liedertafel,
UDC20260028-42.pdf,Concert Programs,1910,Melbourne Liedertafel,
UDC20260028-43.pdf,Concert Programs,1916,Melbourne Liedertafel,
UDC20260028-44.pdf,Concert Programs,1901,Melbourne Liedertafel,
UDC20260028-45.pdf,Concert Programs,1901,Melbourne Liedertafel,
UDC20260028-46.pdf,Concert Programs,1902,Melbourne Liedertafel,
UDC20260028-47.pdf,Concert Programs,1902,Melbourne Liedertafel,
UDC20260028-48.pdf,Concert Programs,1902,Melbourne Liedertafel,
UDC20260028-49.pdf,Concert Programs,1902,Melbourne Liedertafel,
UDC20260028-5.pdf,Concert Programs,1968,Cross Talk (in Tokyo),
UDC20260028-50.pdf,Concert Programs,1902,Melbourne Liedertafel,
UDC20260028-51.pdf,Concert Programs,1970,Pacific Contemporary Music Festival,
UDC20260028-52.pdf,Concert Programs,1979,Asian Youth Music Camp,
UDC20260028-53.pdf,Concert Programs,1903,Melbourne Liedertafel,
UDC20260028-54.pdf,Concert Programs,1925,Royal College of Music,
UDC20260028-55.pdf,Concert Programs,1903,Melbourne Liedertafel,
UDC20260028-56.pdf,Concert Programs,1928,Lausanne Music Festival,
UDC20260028-57.pdf,Concert Programs,1903,Melbourne Liedertafel,
UDC20260028-58.pdf,Concert Programs,1906,Melbourne Liedertafel,
UDC20260028-59.pdf,Concert Programs,1906,Melbourne Liedertafel,
UDC20260028-6.pdf,Concert Programs,1892,Melbourne Liedertafel,
UDC20260028-60.pdf,Concert Programs,1907,Melbourne Liedertafel,
UDC20260028-61.pdf,Concert Programs,1928,University of Michigan,
UDC20260028-62.pdf,Concert Programs,1907,Melbourne Liedertafel,
UDC20260028-63.pdf,Concert Programs,1901,Melbourne Liedertafel,
UDC20260028-64.pdf,Concert Programs,1930,Melbourne Liedertafel,
UDC20260028-65.pdf,Concert Programs,1931,Melbourne Liedertafel,
UDC20260028-66.pdf,Concert Programs,1931,Melbourne Liedertafel,
UDC20260028-67.pdf,Concert Programs,1933,Melbourne Liedertafel,
UDC20260028-68.pdf,Concert Programs,1929,University of Michigan,
UDC20260028-69.pdf,Concert Programs,1903,Melbourne Liedertafel,
UDC20260028-7.pdf,Concert Programs,1968,Cross Talk (in Tokyo),
UDC20260028-70.pdf,Concert Programs,1896,Musical Society of Victoria,
UDC20260028-71.pdf,Concert Programs,1915,Musical Society of Victoria,
UDC20260028-72.pdf,Concert Programs,1899,Musical Society of Victoria,Fragment
UDC20260028-73.pdf,Annual Report,1896,Musical Society of Victoria,
UDC20260028-74.pdf,Concert Programs,1896,Musical Society of Victoria,
UDC20260028-75.pdf,Concert Programs,1896,Musical Society of Victoria,
UDC20260028-76.pdf,Concert Programs,1896,Musical Society of Victoria,
UDC20260028-77.pdf,Concert Programs,1897,Musical Society of Victoria,
UDC20260028-78.pdf,Concert Programs,1898,Musical Society of Victoria,
UDC20260028-79.pdf,Concert Programs,1899,Musical Society of Victoria,
UDC20260028-8.pdf,Concert Programs,1891,Melbourne Liedertafel,
UDC20260028-80.pdf,Concert Programs,1899,Musical Society of Victoria,
UDC20260028-81.pdf,Concert Programs,1899,Musical Society of Victoria,
UDC20260028-82.pdf,Concert Programs,1898,Musical Society of Victoria,
UDC20260028-83.pdf,Concert Programs,1899,Musical Society of Victoria,
UDC20260028-84.pdf,Concert Programs,1934,London Queens Hall Piano,
UDC20260028-85.pdf,Concert Programs,1934,Obergammerau Canada Educator's Visit,
UDC20260028-86.pdf,Concert Programs,1939,London Royal Choral Society,
UDC20260028-87.pdf,Concert Programs,1936,London Royal Choral Society,
UDC20260028-88.pdf,Concert Programs,1938-39,London Symphony Orchestra,
UDC20260028-89.pdf,Concert Programs,1919,Paris Académie de musique et danse,
UDC20260028-9.pdf,Concert Programs,1899,Melbourne Liedertafel,
UDC20260028-90.pdf,Concert Program,Unknown,Hendersen Piano Lectures Glasgow,
