collection_id,full_identifier,title,region,dialect,languages,access_condition_name,essence_filename,essence_permalink,download_status,error_message,char_count,local_text_path,text
MMT1,MMT1-20160711Bililuna,"Jack Gordon, Marie Gordon, Patrick  Smith & Marie Mudgell",,,"English, Gurinji, Kukatja",Open (subject to agreeing to PDSC access conditions),MMT1-20160711Bililuna-lbl_01.txt,https://catalog.paradisec.org.au/repository/MMT1/20160711Bililuna/MMT1-20160711Bililuna-lbl_01.txt,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20160711Bililuna,"Jack Gordon, Marie Gordon, Patrick  Smith & Marie Mudgell",,,"English, Gurinji, Kukatja",Open (subject to agreeing to PDSC access conditions),MMT1-20160711Bililuna-Metadata.pdf,https://catalog.paradisec.org.au/repository/MMT1/20160711Bililuna/MMT1-20160711Bililuna-Metadata.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20160716PO,Interview with Patrick Jungarrayi Ooladoodi,Kiwirrkura,Pintupi-Kukatja,English,Open (subject to agreeing to PDSC access conditions),MMT1-20160716PO-01.txt,https://catalog.paradisec.org.au/repository/MMT1/20160716PO/MMT1-20160716PO-01.txt,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20160716PO,Interview with Patrick Jungarrayi Ooladoodi,Kiwirrkura,Pintupi-Kukatja,English,Open (subject to agreeing to PDSC access conditions),MMT1-20160716PO-02.pdf,https://catalog.paradisec.org.au/repository/MMT1/20160716PO/MMT1-20160716PO-02.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20170703a,Interview with Hairbrush George Jungarrayi,,,"English, Pintupi-Luritja",Open (subject to agreeing to PDSC access conditions),MMT1-20170703a-01_16b.pdf,https://catalog.paradisec.org.au/repository/MMT1/20170703a/MMT1-20170703a-01_16b.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20170703a,Interview with Hairbrush George Jungarrayi,,,"English, Pintupi-Luritja",Open (subject to agreeing to PDSC access conditions),MMT1-20170703a-01.pdf,https://catalog.paradisec.org.au/repository/MMT1/20170703a/MMT1-20170703a-01.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20170703a,Interview with Hairbrush George Jungarrayi,,,"English, Pintupi-Luritja",Open (subject to agreeing to PDSC access conditions),MMT1-20170703a-02.pdf,https://catalog.paradisec.org.au/repository/MMT1/20170703a/MMT1-20170703a-02.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20170703a,Interview with Hairbrush George Jungarrayi,,,"English, Pintupi-Luritja",Open (subject to agreeing to PDSC access conditions),MMT1-20170703a-Hansen_Tjungurrayi_George_Laka.pdf,https://catalog.paradisec.org.au/repository/MMT1/20170703a/MMT1-20170703a-Hansen_Tjungurrayi_George_Laka.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20170703b,Interview with Patrick Ooladoodi Tjungarrayi & Charlie Tjapangardi Warlampirri,,,"English, Pintupi-Luritja",Open (subject to agreeing to PDSC access conditions),MMT1-20170703b-1_16b.pdf,https://catalog.paradisec.org.au/repository/MMT1/20170703b/MMT1-20170703b-1_16b.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20171005TiTree,Interview with Joe Bird and Albie Ampetyane,,,"Anmatyerre, English",Open (subject to agreeing to PDSC access conditions),MMT1-20171005TiTree-4_2.txt,https://catalog.paradisec.org.au/repository/MMT1/20171005TiTree/MMT1-20171005TiTree-4_2.txt,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
